                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0226,                0.44409,                 1.0767,                0.98345,                0.96413,                0.98809,                0.72047,                 1.0613,                0.35404,                 1.0932,               0.006535,               0.006535,               0.006535
                     37,                 1.0226,                0.44328,                 1.0755,                0.98502,                0.96467,                0.98815,                 0.7214,                 1.0603,                0.35297,                 1.0923,               0.006436,               0.006436,               0.006436
                     38,                 1.0236,                0.44632,                  1.077,                0.98234,                0.96739,                 0.9874,                0.72262,                 1.0635,                0.35312,                 1.0941,               0.006337,               0.006337,               0.006337
                     39,                 1.0151,                0.43963,                  1.072,                0.98379,                0.96576,                0.98597,                0.72499,                 1.0627,                0.35149,                 1.0938,               0.006238,               0.006238,               0.006238
                     40,                 1.0205,                0.43912,                 1.0755,                0.98694,                0.96467,                0.98594,                0.72396,                 1.0625,                0.35026,                 1.0935,               0.006139,               0.006139,               0.006139
                     41,                  1.008,                0.43481,                 1.0666,                0.98691,                 0.9625,                0.98579,                0.72427,                  1.065,                0.34762,                  1.095,                0.00604,                0.00604,                0.00604
                     42,                 1.0102,                0.43533,                   1.07,                0.98413,                0.96467,                0.98608,                0.72361,                 1.0656,                0.34735,                 1.0952,               0.005941,               0.005941,               0.005941
                     43,                 1.0102,                0.43298,                 1.0687,                0.98556,                0.96461,                0.98561,                0.72437,                 1.0656,                0.34692,                 1.0944,               0.005842,               0.005842,               0.005842
                     44,                 1.0061,                0.43038,                 1.0667,                0.98504,                0.96622,                0.98538,                0.72314,                 1.0638,                0.34517,                 1.0935,               0.005743,               0.005743,               0.005743
                     45,                 1.0021,                0.42846,                 1.0616,                0.98128,                0.96848,                0.98541,                0.72436,                 1.0641,                0.34515,                 1.0935,               0.005644,               0.005644,               0.005644
                     46,                0.99531,                0.42178,                 1.0639,                0.98268,                0.96902,                0.98689,                0.72337,                 1.0649,                0.34381,                  1.094,               0.005545,               0.005545,               0.005545
